genre,artist,song,lyrics
Rock,10 Years,One More Day,"The walls are closing in around us
We hold our silence like a gun
Your stare is empty
And a scene that keeps repeating
And I just bite my tongueThey can't take this away, it's far from over
We can't stay in a place we don't belong
For one more day, I'm not afraid to fall
For one more day, we try to save it all



Related




 






Can You Guess The Song By The Emojis?







Linkin Park Honors Chester Bennington In The Emotional Video For 'One More Light' 







Watch Beck's Heroic New Music Video For 'Up All Night'






 
 

Footsteps will fade away the memories
Unload the words and breathe again
Our eyes are focused
On an unexplored horizon
At what has always beenThey can't take this away, it's far from over
We can't stay in a place we don't belong
For one more day, I'm not afraid to fall
For one more day, we try to save it allI won't let you look back
If you will help me see clearlyThey can't take this away, it's far from over
We can't stay in a place we don't belongFor one more day, I'm not afraid to fall
(Far from over)
For one more day, we try to save it all



Photos


































 




(They can't take this away, it's far from over)
For one more day, I'm not afraid to fall
(We can't stay in a place we don't belong)(They can't take this away, it's far from over)
For one more day, we try to save it all




 "
Rock,10 Years,Russian Roulette,"It's Russian Roulette with no luck
You could kiss it goodbye
There's no such thing
As sympathy
When the disease is enteringAt first glance your instinct says
The stranger is a little dangerous
The cat was killed from curious thrills
Now Christ has left the mangerThe taste is so divine
Chemical coma life
Welcome to your vice
Good luck with life
'Cause you can't
You can't
You can't kill me that easily


Related




 






11 Delicious Misheard Lyrics About Food







Linkin Park Honors Chester Bennington In The Emotional Video For 'One More Light' 







Watch Beck's Heroic New Music Video For 'Up All Night'






 
 

It's so nice to meet you
It's so nice to know you
Now that your guards down
Let me show you
Superior rides from initial highs
Have now come back to haunt you
Your cravings beg the strangers hands
For a taste that's so familiarThe taste is so divine
Chemical coma life
Welcome to your vice
Good luck with lives
'Cause you can't
You can't
You can't kill me that easily
What will you decide
When you're out of time
'Cause you can't
You can't
You can't kill me that easily



Photos


































 




The battle you picked
Was so one sided
Now to pin it on me
The one you invited
For redemption
For forgiveness
Sorry I'm not listeningWelcome to your vice
Good luck with life
'Cause you can't
You can't
You can't kill me that easily
What will you decide
When you're out of time
'Cause you can't
You can't
You can't kill me that easily




 "
Rock,10 Years,Dead In The Water,"Blessed are thee who speaks the word
Pray for the weak and lead the herd
Dollar signs in the faithful eyes
The anti-saint sunday disguiseYou're just a faker
No miracle maker
Holy behavior
Won't make you a saviorIf we want a martyr
We'll come and find you
Come and find you
Done before you started
You're dead in the water
Walk on farther out to sea
You're done before you started
You're dead in the water


Related




 






15 Huge Stars Who Were Backup Singers First







Linkin Park Honors Chester Bennington In The Emotional Video For 'One More Light' 







Watch Beck's Heroic New Music Video For 'Up All Night'






 
 

Raptured are thee who sees (?) the word
Holiness so well rehearsed
Dollar signs in the faithful eyes
Anti-saint sunday disguiseYou're just a faker
No miracle maker
Holy behavior
Won't make you a saviorIf we want a martyr
We'll come and find you
Come and find you
Done before you started
You're dead in the water
Walk on farther out to sea
You're done before you started
You're dead in the water



Photos


































 




The water
The water
The waterMoney made messiahs
You're televised to tell your lies
Not another martyr
You're dead in the waterIf we want a martyr
We'll come and find you
Come and find you
Done before you started
You're dead in the water
Walk on farther out to sea
You're done before you started
You're dead in the waterYou're dead in the water
You're dead in the water
You're dead in the water
You're dead in the water




 "
Rock,10 Years,Proud of You,"Shadows set the mood
Innocence left the room
And all i know to do
Is shed a tear for youPlease don't be ashamed
Whether you win or lose
I just want you to know
That I'm proud of you
Don't be afraid when
Your fight is through
I just need you to know
That I'm here with youI can't watch you choose
To pour salt in your wounds
Now all I know to do
Is say a prayer for you


Related




 






Songs That Will Make You Cry Uncontrollably







Linkin Park Honors Chester Bennington In The Emotional Video For 'One More Light' 







Watch Beck's Heroic New Music Video For 'Up All Night'






 
 

Please don't be ashamed
Whether you win or lose
I just want you to know
That I'm proud of you
Don't be afraid when
Your fight is through
I just need you to know
That I'm here with you




Photos


































 








 "
Rock,10 Years,Now Is The Time,"Appetites reach all time highs
No ones seems to care who dies
Prey on every little thing in sight
It's a kill or be killed state of mind
Anything to stay alive
Never ever show you're terrifiedIt's a common casualty to trust in what you see
Saints and scholars, don't even bother
The bullet in the blood came from those you love
Friendly fires, death by a liarDumb, deaf and blind
Fall back in lineNow is the time to open your eyes
You need it, you want it, you did it, you got it
So act like you own it this time
The coma of lies comfort your mind
You're feeding the fire and bleeding desire
It's down to the wire this time


Related




 






Songs That Will Make You Cry Uncontrollably







Linkin Park Honors Chester Bennington In The Emotional Video For 'One More Light' 







Watch Beck's Heroic New Music Video For 'Up All Night'






 
 

Focus now on how to gain
Loyalty from enemies
Waiting patiently for when to strikeThe bullet in the blood came from those you trust
Friendly fires, death by a liarDumb, deaf and blind
Fall back in lineNow is the time to open your eyes
You need it, you want it, you did it, you got it
So act like you own it this time
The coma of lies comfort your mind
You're feeding the fire and bleeding desire
It's down to the wire this timeThese ravenous bastards always get what they're after
These ravenous bastards always get what they're after
These ravenous bastards always get what they're after
These ravenous bastards



Photos


































 




The vultures swarm in circles like a storm
The carnivores rip into the core
For more and more and more
They rip into the coreNow is the time to open your eyes
You need it, you want it, you did it, you got it
So act like you own it this time
The coma of lies comfort your mind
You're feeding the fire and bleeding desire
It's down to the wire this time




 "
Rock,10 Years,Drug of Choice,"Sex always sells, Death is a thrill
Entertain my lack of paticence
How much we pay to be tailor made
The fashion slaves, the trends will changeNow what is your drug of choice, pick your posion and enjoy
What is your drug of choice, pick your posion and enjoy
Disasterbation, The thrill of the nation
Temptation is for sale
Disasterbation, The death of a nation
Manipulate yourself



Related




 






18 Non-Traditional Yet Perfect Wedding Songs







Linkin Park Honors Chester Bennington In The Emotional Video For 'One More Light' 







Watch Beck's Heroic New Music Video For 'Up All Night'






 
 

Reality, scripted TV
Chasing 15 minutes of fame
Fight over fuel, Violence in school
The youth are as confused as I amNow what is your drug of choice, pick your posion and enjoy
What is your drug of choice, pick your posion and enjoy
Disasterbation, The thrill of the nation
Temptation is for sale
Disasterbation, The death of a nation
Manipulate yourselfWe're so weak for blaming persuation
Live a life based on imitation, on imitation, on imitation




Photos


































 




Now what is your drug of choice, pick your posion and enjoy
Disasterbation, The thrill of the nation
Temptation is for sale
Disasterbation, The death of a nation
Manipulate yourself
Disasterbation, The thrill of the nation
Temptation is for sale
Disasterbation, The death of a nation
Manipulate yourself




 "
Rock,10 Years,The Wicked Ones,"She, she is the love that you make and break
And he, he is the drug that you hate to crave
And I, I am the liar you made to praise
And you, you are the one that we want and needWho will convince us?
The wicked will
Who condemn us?
The wicked will
Who will defend us?
The wicked will
AlwaysWe are the wicked, the wicked, the wicked ones who adore you
The wicked, the wicked, the wicked ones we'll destroy you
We are the loss of your innocence
We are the wicked, the wicked, the wicked ones coming for you


Related




 






26 Best Breakup Songs Of All Time







Linkin Park Honors Chester Bennington In The Emotional Video For 'One More Light' 







Watch Beck's Heroic New Music Video For 'Up All Night'






 
 

We, we are the scar on the skin again
Massive lines of wondering eyes waiting, waiting to be
Bastardized, monopolized
Selling clones of every kindWho will convince us?
The wicked will
Who condemn us?
The wicked will
Who will defend us?
The wicked will
AlwaysWe are the wicked, the wicked, the wicked ones who adore you
The wicked, the wicked, the wicked ones we'll destroy you
We are the loss of your innocence
We are the wicked, the wicked, the wicked ones (the wicked ones)Kill yourself to save yourself from yourself
Kill yourself to save yourself from yourself
Kill yourself to save yourself from yourself



Photos


































 




Before you become one of us
Before you become one of usWe are the wicked, the wicked, the wicked ones who adore you
The wicked, the wicked, the wicked ones we'll destroy you
We are the loss of your innocence
We are the wicked, the wicked, the wicked ones (the wicked ones)You will become one of us




 "
Rock,10 Years,Battle Lust,"The fact that your opinion's wrong
You never listen at all
With our backs against the wall
We become what we are told
Apologize, sympathize
Will it ever end?
I promise I see your side
But I'll never bend
Lovers, (lovers), liars, (liars),
Colder than death, you're colder than death
Spotlight, (spotlight), cancer, (cancer),
Filling your head, killing regret


Related




 






Songs You Love If You Love Nerds







Linkin Park Honors Chester Bennington In The Emotional Video For 'One More Light' 







Watch Beck's Heroic New Music Video For 'Up All Night'






 
 

Dare me to cross the line
I'll see you on the other side
Heavy hands, fragile hearts, are tearing us apart
Lovers, (lovers), liars, (liars),
Colder than death, you're colder than death
Spotlight, (spotlight), cancer, (cancer),
Filling your head, killing regret
Bound in the battle lust
Everything turns to dust
Lovers, (lovers), liars, (liars),
Colder than death, you're colder than death
Spotlight, (spotlight), cancer, (cancer),
Filling your head, killing regret



Photos


































 








 "
Rock,10 Years,Halos,"Related




 






Songs That Will Make You Cry Uncontrollably







Linkin Park Honors Chester Bennington In The Emotional Video For 'One More Light' 







Watch Beck's Heroic New Music Video For 'Up All Night'






 
 





Photos


































 








 "
Rock,10 Years,Fade Into,"Broken shoulders resting on my back
Overloaded with a weighed stack
Higher and higher
Time runs tiredSilence falls into the deafening
Sirens of my own epiphany
Silence falls into the deafening
Sirens of my own epiphanyMy own mortalityHere I lie with my regrets
Possessions petty meaningless
You are my medicine
Healing me with tenderness


Related




 






27 Best Ever Songs From Movie Soundtracks







Linkin Park Honors Chester Bennington In The Emotional Video For 'One More Light' 







Watch Beck's Heroic New Music Video For 'Up All Night'






 
 

Don't go, don't go
Don't go, don't go
Don't go, don't go
Don't go, don't goI don't know, don't go
I don't know, don't go
I don't know, don't go
I don't know what is happeningWhat is happeningIs this the end?
Oh my God
Is this the end?
Or just the beginning?Broken body crumbles into dust
Weight is lifted sending me with love
Higher and higher
Time expired



Photos


































 




The silent calm, reawakening
Pass me on into eternity
The silent calm, reawakening
Pass me on into eternity
Cry no more for me
Crossing through
Fade into
Crossing through
Fade into
Crossing through
Fade into
Crossing through
Fade into the light
Fade into the light
Crossing through
Fade into the light
Crossing through
Fade into the light




 "
Rock,10 Years,11:00am (daydreamer),"I can't seem to change you or open up your eyes
So go on and sing your sad, sad song.
I don't even blame you, the routine is nice.
Nine to five in a suit and tie.
Fear of failure in comfort zones kill.Brace yourself and give into the moment.
You've got nothing to lose.
So what is your excuse?
Save yourself, you're dying in slow motion.
You've got nothing to lose.
So what's your excuse?


Related




 






26 Best Breakup Songs Of All Time







Linkin Park Honors Chester Bennington In The Emotional Video For 'One More Light' 







Watch Beck's Heroic New Music Video For 'Up All Night'






 
 

Life can't seem to teach you the safe card is right.
So stray from the fight.
Don't you realize
The daydreamer's nightmare is to never even try.
Your time has slipped by.
Fear of failure in a comfort zones kill.Brace yourself and give into the moment.
You've got nothing to lose.
So what is your excuse?
Save yourself, you're dying in slow motion.
You got nothing to lose.
So what's your excuse?Take a step back and find a way out of here.
Can't you see the answer is loud and clear.



Photos


































 




Brace yourself and give into the moment.
You've got nothing to lose.
So what is your excuse?
Save yourself, you're dying in slow motion.
You got nothing to lose.
So what's your excuse?Find a way out of here...




 "
Rock,10 Years,Shoot It Out,"Shoot it, shoot it out 'cause they want it, want it now, now
Shoot it, shoot it out 'cause they want it, want it nowShoot it, shoot it out 'cause they want it, want it now, now
Shoot it, shoot it out 'cause they want it, want it nowShoot it, shoot it out 'cause they want a little more
You can be rest assured
You give them all you got and you give them a little more
And never even know what forThey feed and they suck until you're unconscious
It's never enough, they kill your subconsciousI'm ready to dieWill you kill what's left of me to stop the bleeding?
Shoot it, shoot it out 'cause they want it, want it now, now
Shoot it, shoot it out 'cause they want it, want it now, now
Suffocate integrity till I'm not breathing
Shoot it, shoot it out 'cause they want it, want it now, now
Shoot it, shoot it out 'cause they want it, want it now


Related




 






18 Non-Traditional Yet Perfect Wedding Songs







Linkin Park Honors Chester Bennington In The Emotional Video For 'One More Light' 







Watch Beck's Heroic New Music Video For 'Up All Night'






 
 

Feed them, fucken starve them, keep begging a little more
Feed them, fucken starve them, keep begging a little moreFeed them, fucken starve them, keep begging a little more
I'm not gonna be your whore
Load it, cock it, pull it, refuse to be ignored
I'm not gonna fight your warAll the distractions kill the compassion
Suddenly fame has lost its attractionI'm ready to dieWill you kill what's left of me to stop the bleeding?
Shoot it, shoot it out 'cause they want it, want it now, now
Shoot it, shoot it out 'cause they want it, want it now, now
Suffocate integrity till I'm not breathing
Shoot it, shoot it out 'cause they want it, want it now, now
Shoot it, shoot it out 'cause they want it, want it nowFeeding the wolves, don't you know better?
Feeding the wolves, the taste of blood is bitter



Photos


































 




Feeding the wolves, you're feeding the wolves
Feeding the wolves, don't you know better?
Feeding the wolves, you're feeding the wolves
Feeding the wolves, the taste of blood is bitter
Will you kill what's left of me to stop the bleeding?
Shoot it, shoot it out 'cause they want it, want it now, now
Shoot it, shoot it out 'cause they want it, want it now, now
Suffocate integrity till I'm not breathing
Shoot it, shoot it out 'cause they want it, want it now, now
Shoot it, shoot it out 'cause they want it, want it now
Shoot it, shoot it out 'cause they want it, want it now, now
Shoot it, shoot it out 'cause they want it, want it now!




 "
Rock,10 Years,Focus,"Digging deeper in my mind
Can't get you out of my head
There's no way to describe
Just how you make me feel
I don't know
Is it love
I have lost control
Even when I'm gone
I can't get awayI can't Focus when I'm near you
Do you notice me at all
I can't Focus when I hear you
Do you notice I can't focus


Related




 






Songs That Will Make You Cry Uncontrollably







Linkin Park Honors Chester Bennington In The Emotional Video For 'One More Light' 







Watch Beck's Heroic New Music Video For 'Up All Night'






 
 

Like the moth flies to the light
He's captured at first sight
I can't deny I'm taken by
The beauty in your eyes
I don't know
Is it love
I have lost control
Even when I'm gone
I can't get awayI can't Focus when I'm near you
Do you notice me at all
I can't Focus when I hear you
Do you notice I can't focusI can't Focus when I'm near you
Do you notice me at all
I can't Focus when I hear you
Do you notice (Do you notice)



Photos


































 




I can't Focus when I'm near you
Do you notice me at all
I can't Focus when I hear you
Do you notice I can't focus




 "
Rock,10 Years,Vertigo,"Bruises keep me moving
Abused by your prescious presciousHopelessly hopeful; romantically numb
Way to close for closure to comeAround and 'round we go with the rise and fall of your vertigo. Spinning out of control for ever maybe, only made in our dreamsMinimize my movement; amused by your grand illusions
No love and no hate - just phantom pains
Too soon; too late to amputateAround and 'round we go with the rise and fall of your vertigo. Spinning out of control; forever maybe, only made in our dreamsHesitating hearts; we're starving to start
Falling apart
(Round and round we go with the rise and fall of your vertigo)



Related




 






26 Best Breakup Songs Of All Time







Linkin Park Honors Chester Bennington In The Emotional Video For 'One More Light' 







Watch Beck's Heroic New Music Video For 'Up All Night'






 
 

Around and round we go (around and round we go) with the rise and fall of your vertigo. Spinning out of control (spinning out of control)
Forever maybe, only made in our dreams.
Only made in our dreams.
Only made in our dreams.




Photos


































 








 "
Rock,10 Years,Waking Up The Ghost,"No one knows the secrets that I keep
No one knows what's in my head
I can't control the other side of me
I have lost my gripBreaking the pulse of a steady beat
Pleading for sanity
The voice is calling out my name
Now I'm afraid thatI, I'm waking up the ghost
I'm digging up the memories that were dead to me
(dead to me)
Now, now I'm getting close
Closer to the enemy that's inside of me
(inside of me)


Related




 






Can You Guess The Song By The Emojis?







Linkin Park Honors Chester Bennington In The Emotional Video For 'One More Light' 







Watch Beck's Heroic New Music Video For 'Up All Night'






 
 

Under the skin, the soul of the guilty
Under the surface, lonely lies
Under the weight the sin is
Eating me aliveNo mercy, no forgiveness
Condemned to my own hell
The voice is calling out my name
Now I'm afraid thatI, I'm waking up the ghost
I'm digging up the memories that were dead to me
(dead to me)
Now, now I'm getting close
Closer to the enemy that's inside of me
(inside of me)Woah, woah!
Woah, woah!



Photos


































 




I, I'm waking up the ghost
And digging up the memories that were dead to me
(dead to me)I am waking up the ghost
And digging up the memories that were dead to me
(dead to me)
Now, now I'm getting close
Closer to the enemy that's inside of me
(inside of me)Woah, woah!
Woah, woah!




 "
Rock,10 Years,Catacombs,"Make us a new muse
Our golden gods are old news
Dig up those bones, these new clones
have no rhythm or soulTripping on the heels of kings and queens
Fed cheap thrills and shiny things
Do we want them, why do we want them?Don't stop it won't stop, we don't want thisRewrite us new rules
when all the laws have been abused
Repeat history like a dead language
mystery that we can't read



Related




 






11 Delicious Misheard Lyrics About Food







Linkin Park Honors Chester Bennington In The Emotional Video For 'One More Light' 







Watch Beck's Heroic New Music Video For 'Up All Night'






 
 

Tripping on the heels of kings and queens
Fed cheap thrills and shiny things
Do we want them, why do we want them?Line us up in homes like catacombs
Keep us comatose so no one knows
Do we want them, why do we want them?Don't stop it won't stop, we don't want this
don't stop it won't stop, we don't want




Photos


































 




Tripping on the heels of kings and queens
Fed cheap thrills and shiny things
Do we want them, why do we want them?
Line us up in homes like catacombs
Keep us comatose so no one knows
Do we want them, why do we want them?Don't stop it won't stop
(we don't want this - x2)




 "
Rock,10 Years,Fault Line,"I felt you cut free turning cold shoulders to me
Growing blame lines
Communicating liesNothing more to trust
Fallacies of loveKilling all that holds youBring me back to this
What you said
Useless
Leave me
I'll shed my skin, these scars will mend



Related




 






The Best Karaoke Songs Ever, Ranked







Linkin Park Honors Chester Bennington In The Emotional Video For 'One More Light' 







Watch Beck's Heroic New Music Video For 'Up All Night'






 
 

Don't worry about me the heart's supposed to bleed
Purity is drained
Help each other die
I see it, I see it in your eyesKilling all that holds youBring me back to this
What you said
Useless
Leave me
I'll shed my skin, these scars will mendEyes twitch and lies itch of nervous
Eyes twitch and lies itch of a nervous endingInnocence is ugly in the one who is guilty




Photos


































 




Bring me back to this
What you said
Useless
Leave me
I'll shed my skin these scars will mend




 "
