genre,artist,album,song,lyrics
The little things I say and do?
The name you underline, I'm hoping that it's mine.
Darling, I'm so in love with you.

Please don't leave me blue. Make all my dreams come true.
You know how much you mean to me.
Say I'm the boy that you care for,
The boy who's in your diary."

Rock,Little Anthony & The Imperials,I Love Music - Only Original Recondings ,Theme from ,"Sorry, we have no Little Anthony & The Imperials - Theme from the search for everything lyrics at the moment.
			Please check the spelling and try again to search Little Anthony & The Imperials Theme from the search for everything lyrics
var GOOG_FIXURL_LANG = ""en"";var GOOG_FIXURL_SITE = ""http://www.songlyrics.com/"";

"

Rock,Little Anthony & The Imperials,I Love Music - Only Original Recondings ,You're Gonna Live Forever in Me ,"Sorry, we have no Little Anthony & The Imperials - You re gonna live forever in me lyrics at the moment.
			Please check the spelling and try again to search Little Anthony & The Imperials You re gonna live forever in me lyrics
var GOOG_FIXURL_LANG = ""en"";var GOOG_FIXURL_SITE = ""http://www.songlyrics.com/"";

"

Rock,Twenty One Pilots,Blurryface ,Fairly Local ,"I'm fairly local, I've been around
I've seen the streets you're walking down
I'm fairly local, good people now, oh, oh, oh, oh, oh, oh, oh

I'm evil to the core, What I shouldn't do I will
They say I'm emotional, What I want to save I'll kill
Is that who I truly am?, I truly don't have a chance
Tomorrow I'll keep a beat, And repeat yesterday's dance
Yo, this song will never be on the radio
Even if my clique were to pick and the people were to vote
It's the few, the proud, and the emotional
Yo, you, bulletproof in black like a funeral

The world around us is burning but we're so cold
It's the few, the proud, and the emotional
I'm fairly local, I've been around
I've seen the streets you're walking down
I'm fairly local, good people now,
oh, oh, oh, oh, oh, oh, oh,

oh, oh, oh, oh, oh, oh, oh
I'm not evil to the core, What I shouldn't do I will fight
I know I'm emotional, What I want to save I will try

I know who I truly am, I truly do have a chance
Tomorrow I'll switch the beat, To avoid yesterday's dance
Yo, this song will never be on the radio
Even if my clique were to pick and the people were to vote
It's the few, the proud, and the emotional
Yo, you, bulletproof in black like a funeral
The world around us is burning but we're so cold
It's the few, the proud, and the emotional

I'm fairly local, I've been around
I've seen the streets you're walking down
I'm fairly local, good people now,
oh, oh, oh, oh, oh, oh, oh
oh, oh, oh, oh, oh, oh, oh
I'm fairly local, I've been around
I've seen the streets you're walking down
I'm fairly local, good people now,
oh, oh, oh, oh, oh, oh, oh
I'm fairly local, good people now,
oh, oh, oh, oh, oh, oh, oh
Good people now, oh, oh, oh, oh, oh, oh, oh
Good people now, oh, oh, oh, oh, oh, oh, oh"

Rock,Twenty One Pilots,Blurryface ,Tear In My Heart ,"Sometimes you've got to bleed to know,
That you're alive and have a soul,
But it takes someone to come around to show you how.

She's the tear in my heart, I'm alive,
She's the tear in my heart, I'm on fire,
She's the tear in my heart, take me higher,
Than I've ever been.

The songs on the radio are ok,
But my taste in music is your face,
And it takes a song to come around to show you how.

She's the tear in my heart, I'm alive,
She's the tear in my heart, I'm on fire,
She's the tear in my heart, take me higher,
Than I've ever been
Than I've ever been
Than I've ever been
Than I've ever been

You fell asleep in my car, I drove the whole time,
But that's ok, I'll just avoid the holes so you sleep fine,
I'm driving here I sit, cursing my government,
For not using my taxes to fill holes with more cement.

You fell asleep in my car, I drove the whole time,
But that's ok, I'll just avoid the holes so you sleep fine,
I'm driving here I sit, cursing my government,
For not using my taxes to fill holes with more cement.

Sometimes you've got to bleed to know, oh, oh
That you're alive and have a soul, oul, oul
But it takes someone to come around to show you how.

She's the tear in my heart, I'm alive,
She's the tear in my heart, I'm on fire,
She's the tear in my heart, take me higher,
Than I've ever been.

My heart is my armor,
She's the tear in my heart, she's a carver,
She's a butcher with a smile, cut me farther,
Than I've ever been
Than I've ever been
Than I've ever been
Oh, than I've ever been

My heart is my armor,
She's the tear in my heart, she's a carver,
She's a butcher with a smile, cut me farther,
Than I've ever been"

Rock,Twenty One Pilots,Blurryface ,Lane Boy ,"They say ""stay in your lane boy, lane boy""
But we go where we want to
They think this thing is a highway, highway
But will they be alive tomorrow?

They think this thing is a highway
If it was a highway
We'd have a tempo change every other time change
Cause our minds change on what we think is good
I wasn't raised in the hood
But I know a thing or two about pain and darkness
If it wasn't for this music, I don't know how I would've fought this
Regardless, all these songs I'm hearing are so heartless
Don't trust a perfect person and don't trust a song that's flawless
Honest, there's a few songs on this record that feel common
I'm in constant confrontation with what I want and what is poppin'
In the industry it seems to me that singles on the radio are currency
My creativity is on the free when I'm playin' shows

They say ""stay in your lane boy, lane boy""
But we go where we want to
They think this thing is a highway, highway
But will they be alive tomorrow?
Will they be alive tomorrow?

I'm sorry if that question I asked last
Scared you a bit like a hazmat, in a gas mask
If you ask Zack, he's my brother, he likes when I rap fast
But let's back track, back to this
Who would you live and die for on that list
But the problem is
There's another list that exist and no one really wants to think about this
Forget sanity, forget salary, forget vanity, my morality
If you get in between someone I love and me
You're gonna feel the heat of my calvary

All these songs I'm hearing are so heartless
Don't trust a perfect person and don't trust a song that's flawless

They say ""stay in your lane boy, lane boy""
But we go where we want to
They think this thing is a highway, highway
But will they be alive tomorrow?
They say ""stay in your lane boy, lane boy""
But we go where we want to
They think this thing is a highway, highway
But will they be alive tomorrow?

Will they be alive tomorrow?
(Will they be alive tomorrow?)
(Will they be alive tomorrow?)
Will they be alive tomorrow?

They say ""stay in your lane boy, lane boy""
But we go where we want to
They think this thing is a highway, highway
But will they be alive tomorrow?
They say ""stay in your lane boy, lane boy""
But we go where we want to
They think this thing is a highway, highway
But will they be alive tomorrow?"

Rock,Twenty One Pilots,Blurryface ,Ride ,"I just wanna stay in the sun where I find
I know it's hard sometimes
Pieces of peace in the sun's peace of mind
I know it's hard sometimes.
Yeah, I think about the end just way too much
But it's fun to fantasize
On my enemies who wouldn't wish who I was
But it's fun to fantasize.

Oh, oh, oh, oh
Oh, oh, oh, oh.
I'm fallin' so I'm taking my time on my ri-i-i-ide

Oh, oh, oh, oh

I'm fallin' so I'm taking my time on my ride
Takin' my time on my ride.
""I'd die for you"" that's easy to say
We have a list of people that we would take
A bullet for them, a bullet for you
A bullet for everybody in this room
But I don't seem to see many bullets coming through
See many bullets coming through
Metaphorically, I'm the man
But literally, I don't know what I'd do
""I'd live for you"" and that's hard to do
Even harder to say, when you know it's not true
Even harder to write, when you know that's a lie
There were people back home who tried talking to you
But then you ignore them still
All these questions they're for real, like
""Who would you live for?""
""Who would you die for?""
And ""Would you ever kill?""
Oh, oh, oh, oh

Oh, oh, oh, oh.
I'm fallin' so I'm taking my time on my ri-i-i-ide

Oh, oh, oh, oh

I'm fallin' so I'm taking my time on my ride
Takin' my time on my ride.
I've been thinking too much

I've been thinking too much
I've been thinking too much
I've been thinking too much, (Help me.)
I've been thinking too much, (I've been thinking too much)
I've been thinking too much, (Help me.)
I've been thinking too much, (I've been thinking too much)
I've been thinking too much.
Oh, oh, oh, oh
Oh, oh, oh, oh.
I'm fallin' so I'm taking my time on my ri-i-i-ide
Oh, oh, oh, oh
I'm fallin' so I'm taking my time

Takin' my time on my ri-ide.
Whoa, oh, oh
Oh, oh, oh, oh
Oh, oh, oh, oh.

I'm fallin' so I'm taking my time on my ri-i-i-ide
Oh, oh, oh, oh
I'm falling so I'm takin' my time on myâ€_
I've been thinking too much, (Help me.)
I've been thinking too much, (Help me.)
I've been thinking too much, (I've been thinking too much)
I've been thinking too much, (Help me.)
I've been thinking too much, (I've been thinking too much)
I've been thinking too much, (Help me.)"

Rock,Twenty One Pilots,Blurryface ,Stressed Out ,"I wish I found some better sounds no one's ever heard
I wish I had a better voice that sang some better words
I wish I found some chords in an order that is new
I wish I didn't have to rhyme every time I sang
I was told when I get older, all my fears would shrink
But now I'm insecure, and I care what people think

My name's Blurryface and I care what you think
My name's Blurryface and I care what you think

Wish we could turn back time to the good old days
When our momma sang us to sleep but now we're stressed out
Wish we could turn back time to the good old days
When our momma sang us to sleep but now we're stressed out
We're stressed out

Sometimes a certain smell will take me back to when I was young
How come I'm never able to identify where it's coming from?
I'd make a candle out of it, if I ever found it
Try to sell it, never sell out of it, I'd probably only sell one
It'd be to my brother, cause we have the same nose, same clothes, home grown, the stone's throw from a creek we used to roam
But it would remind us of when nothing really mattered
Out of student loans and tree house homes, we all would take the latter

My name's Blurryface and I care what you think
My name's Blurryface and I care what you think

Wish we could turn back time to the good old days
When our momma sang us to sleep but now we're stressed out
Wish we could turn back time to the good old days
When our momma sang us to sleep but now we're stressed out

Used to play pretend, give each other different names, we would build a rocket ship and then we'd fly it far away
Used to dream of outer space, but now they're laughing at our face singing ""wake up, you need to make money"", yeah
Used to play pretend, give each other different names, we would build a rocket ship and then we'd fly it far away
Used to dream of outer space, but now they're laughing at our face singing ""wake up, you need to make money"", yeah

Wish we could turn back time to the good old days
When our momma sang us to sleep but now we're stressed out
Wish we could turn back time to the good old days
When our momma sang us to sleep but now we're stressed out

We used to play pretend, used to play pretend, money
We used to play pretend, wake up you need the money
Used to play pretend, used to play pretend, money
We used to play pretend, wake up you need the money
Used to play pretend, give each other different names, we would build a rocket ship and then we'd fly it far away
Used to dream of outer space, but now they're laughing at our face saying ""wake up, you need to make money"", yeah"

Rock,Twenty One Pilots,Blurryface ,We Don't Believe What's on TV ,"Yeah, yeah, yeah
We don't believe what's on TV
Because it's what we want to see
And what we want we know we can't believe

We all have learned to kill our dreams
I need to know
That when I fail

You'll still be here
Cause if you stick around
I'll sing you pretty sounds
And we'll make money selling your hair

I don't care what's in your hair
I just wanna know what's on your mind
I used to say I wanna die before I'm old
But because of you I might think twice
Yeah, yeah, yeah

Yeah, yeah, yeah
What if my dream does not happen
Would I just change what I've told my friends

Don't wanna know who I would be
When I wake up from a dreamers sleep
I need to know
That when I fail
You'll still be here
Cause if you stick around
I'll sing you pretty sounds
And we'll make money selling your hair
But I don't care what's in your hair
I just wanna know what's on your mind
I used to say I wanna die before I'm old
But because of you I might think twice
I don't care what's in your hair
I just wanna know what's on your mind
I used to say I wanna die before I'm old
But because of you I might think twice
Yeah, yeah, yeah
Oh
Yeah, yeah, yeah
Yeah, yeah, yeah
Oh, oh, oh, oh, oh
Yeah, yeah, yeah
Oh, oh, oh, oh, oh
Yeah, yeah, yeah
Oh, oh, oh, oh, oh
Yeah, yeah, yeah
Oh, oh, oh, oh, oh
Yeah, yeah, yeah
Oh, oh, oh, oh, oh
Yeah, yeah, yeah
Oh, oh, oh, oh, oh
Yeah, yeah, yeah
Oh, oh, oh, oh, oh
Yeah, yeah, yeah
Oh, oh, oh, oh, oh
Yeah, yeah, yeah"

Rock,Twenty One Pilots,Blurryface ,Heavydirtysoul ,"Thereâ€™s an infestation in my mindâ€™s imagination

I hope they choke on smoke cause Iâ€™m smoking them out the basement

This is not rap, this is not hip-hop

Just another attempt to make the voices stop

Rapping to prove nothing, just writing to say something

Cause I wasnâ€™t the only one who wasnâ€™t rushing to say nothing

This doesnâ€™t mean I lost my dream

Itâ€™s just right now I got a really crazy mind to clean


Gangsters donâ€™t cry

Therefore, therefore Iâ€™m

Mr. Misty-eye, therefore Iâ€™m


Can you save

Can you save my

Can you save my heavy dirty soul?

Can you save

Can you save my

Can you save my heavy dirty soul?

For me, for me, oh

Can you save my heavy dirty soul?

For me, for me, oh

Can you save my heavy dirty soul?


No I didnâ€™t understand the thing you said

If I didnâ€™t know better, I guess youâ€™re all already dead

Mindless zombies walking around with a limp and a hunch

Saying stuff like, ""you only live once""

You got one time to figure it out

One time to twist and one time to shout

One time to think and I say we start now

Sing with me if you know what Iâ€™m talking about


Gangsters donâ€™t cry

Therefore, therefore Iâ€™m

Mr. Misty-eye, therefore Iâ€™m


Can you save

Can you save my

Can you save my heavy dirty soul?

Can you save

Can you save my

Can you save my heavy dirty soul?

For me, for me, oh

Can you save my heavy dirty soul?

For me, for me, oh

Can you save my heavy dirty soul?


Death inspires me like a dog inspires a rabbit

Death inspires me like a dog inspires a rabbit


Can you save

Can you save my

Can you save my heavy dirty soul?

Can you save

Can you save my

Can you save my heavy dirty soul?

For me, for me, oh

Can you save my heavy dirty soul?

For me, for me, oh

Can you save my heavy dirty soul?


Can you save

Can you save my, save my

Can you save my heavy dirty soul?

Can you save

Can you save my, save my

Can you save my heavy dirty soul? "

Rock,Twenty One Pilots,Blurryface ,The Judge ,"Na Na Na Na Oh Oh

Na Na Na Na Oh Oh

Na Na Na Na Oh Oh


[Verse 1]

When the leader of the bad guys sang

Something soft and soaked in pain

I heard the echo from his secret hideaway

He must've forgot to close his door

As he cranked out those dismal chords

And his four walls declared him insane


[Pre-Chorus]

I found my way

Right time wrong place

As I pled my case


[Chorus]

You're the judge, Oh no

Set me free

You're the judge, Oh no

Set me free

I know my soul's freezing

Hell's hot for good reason

So please, take me


Na Na Na Na Oh Oh

Na Na Na Na Oh Oh

Na Na Na Na Oh Oh


[Verse 2]

Three lights are lit

But the fourth one's out

I can tell cause it's a bit darker

Than the last night's bout

I forgot about the drought

Of light bulbs in this house

So I head out

Down a route I think is heading south

But I'm not good with directions

And I hide behind my mouth

I'm a pro at imperfections

And I'm best friends with my doubt

And now that my mind's out

And now I hear it clear and loud

I'm thinking, 'Wow

I probably should've stayed inside my house.'


[Pre-Chorus]


[Chorus]


[Bridge x2]

I don't know if this song

Is a surrender or a revel

I don't know if this one

Is about me or the devil


[Chorus]


Na Na Na Na Oh Oh

Na Na Na Na Oh Oh

Na Na Na Na Oh Oh


[Outro]

You're the judge, Oh no

Set me free

You're the judge, Oh no

Set me free

You're the judge, Oh no

Set me free

You're the judge, Oh no

Set me free"

Rock,Twenty One Pilots,Blurryface ,Doubt ,"Scared of my own image

Scared of my own immaturity

Scared of my own ceiling

Scared I'll die of uncertainty

Fear might be the death of me

Fear leads to anxiety

Don't know what's inside of me


Don't forget ab-b-b-b-bout me

Don't forget ab-b-b-b-bout me

Even when I doubt you

I'm no good without you, no, no


Temperature's dropping

Temperature's dropping

I'm not sure if I can

See this ever stopping

Shaking hands with the dark parts of my thoughts, no

You are all that I've got, no


Don't forget ab-b-b-b-bout me

Don't forget ab-b-b-b-bout me

Even when I doubt you

I'm no good without you, no, no no no no


Gnawing on the bishops

Claw away at this system

Repeating simple phrases

Someone holy insisted

Want the mark he's made on my skin

To mean something to me again

Hope you haven't left without me

Hope you haven't left without me, please


Don't forget ab-b-b-b-bout me

Don't forget ab-b-b-b-bout me

Even when I doubt you

I'm no good without you, no


Don't forget ab-b-b-b-bout me

Don't forget ab-b-b-b-bout me

Even when I doubt you

I'm no good without you, no no no no


Hey! Hey!

Don't forget about me, no

Hey! Hey!

Don't forget about me, no

Hey! Hey!

Don't forget about me, no

Hey! Hey!

Don't forget about me, no "

Rock,Twenty One Pilots,Blurryface ,Polarize ,"[Chorus 1]

Help me polarize, help me polarize, help me down

Those stairs is where I'll be hiding all my problems

Help me polarize, help me polarize, help me out

My friends and I, we got a lot of problems


[Verse 1]

You know where I'm coming from

Though I am running to you

All our feelings tonight, tonight, tonight, oh


[Pre-Chorus]

I wanted to be a better brother, better son

Wanted to be a better adversary to the evil I have done

I have none to show to the one I love

But tonight, tonight, tonight, oh


[Chorus 1]


[Verse 2]

Polarize is taking your disguises

Separating em, splitting em up from wrong and right

It's deciding where to die and deciding where to fight

Tonight, tonight, tonight, oh


[Pre-Chorus]


[Chorus 1]


[Bridge]

We have problems

We have problems


[Breakdown]

Domingo en fuego

I think I lost my halo

I don't know where you are

You'll have to come and find me

Domingo en fuego

I think I lost my halo

I don't know where you are

You'll have to come and find me, find me


[Bridge]

We have problems

We have problems


Help me polarize, help me polarize, help me out

My friends and I have problems

Help me polarize, help me polarize, help me out

My friends and I have problems


[Chorus 2]

Help me polarize, help me polarize, help me out

My friends and I have problems

(4x)


[Bridge]


[Outro]

I wanted to be a better brother, better son

(3x)"

Rock,Twenty One Pilots,Blurryface ,We Don't Believe What's On T.V. ,"[Verse 1]

We don't believe what's on TV

Because it's what we want to see

And what we want we know we can't believe

We have all learned to kill our dreams


[Pre-Chorus]

I need to know

That when I fail you'll still be here

Cause if you stick around, I'll sing you pretty sounds

And we'll make money selling your hair


[Chorus]

I don't care what's in your hair

I just wanna know what's on your mind

I used to say I wanna die before I'm old

But because of you I might think twice


[Verse 2]

Alright, second verse

What if my dream does not happen?

Would I just change what I've told my friends?

Don't want to know who I would be

When I wake up from a dreamer's sleep


[Pre-Chorus]


[Chorus] (x2)"

Rock,Twenty One Pilots,Blurryface ,Message Man ,"No no no no no no

Yeah yeah yeah yeah yeah yeah


The loser hides behind

A mask of my disguise

And who I am today

Is worse than other times

You don't know what I've done

I'm wanted and on the run

I'm wanted and on the run

So I'm taking this moment to live in the future


Release me from the present

I'm obsessing, all these questions

Why I'm in denial

That they tried this suicidal session

Please use discretion when you're messing with the message man

These lyrics aren't for everyone

Only few understand


No no no no no no

Yeah yeah yeah yeah yeah yeah


You don't know my brain

The way you know my name

You don't know my heart

The way you know my face

You don't know what I've done

I'm wanted and on the run

I'm wanted and on the run

So I'm taking this moment to live in the future


Release me from the present

I'm obsessing, all these questions

Why I'm in denial

That they tried this suicidal session

Please use discretion when you're messing with the message man

These lyrics aren't for everyone

Only few understand


My people singing

My people singing

My people singing


Hope you're dead cause how could you sleep at a time like this?

People they rhyme like this

We're all impressed by this

They rip it, flip it but these are just triplets

Wrote this in three minutes

Three words to a line

It's just poetry divided

I'm the kind of guy

Who takes every moment

He knows he can fight it

And music to use it

For others to use it

You're dead cause how could you sleep at a time like this?


Life is up here but you comment below

When the comments will always become common

Motivation to promote your show's next episode

So your brain knows to keep going even though hope

Is far from this moment

But you would not know it gets better

When morning finally rears its head

Together we'll lose this

Remember the future

Remember that morning is when night is dead


Release me from the present

I'm obsessing, all these questions

Why I'm in denial

That they tried this suicidal session

Please use discretion when you're messing with the message man

These lyrics aren't for everyone

Only few understand


Please use discretion when you're messing with the message man

These lyrics aren't for everyone

Only few understand


My people singing

My people singing

My people singing"

Rock,Twenty One Pilots,Blurryface ,Hometown ,"[Hook]

A shadow tilts its head at me

Spirits in the dark are waiting

I won't let them win, go quietly

I won't let them win, go quietly


[Verse 1]

Be the one, be the one

To take my soul and make it undone

Be the one, be the one

To take me home and show me the sun

I know, I know

You can bring the fire, I can bring the bones

I know, I know

You make the fire in my bones, and make it grow


[Chorus]

Where we're from, there's no sun

Our hometown's in the dark

Where we're from, we're no one

Our hometown's in the dark

Our hometown's in the dark


[Hook]


[Verse 2]

Put away, put away

All the gods your father served today

Put away, put away

Your traditions, believe me when I say

We don't know, we don't know

How to put back the power in our soul

We don't know, we don't know

Where to find what once was in our bones


[Chorus] + [Hook] + [Chorus]"

Rock,Twenty One Pilots,Blurryface ,Not Today ,"[Verse 1]

I don't know why

I just feel I'm better off staying in the same room I was born in

I look outside and see a whole world

Better off without me in it trying to transform it


[Hook]

You are out of my mind, oh

You aren't seeing my side, oh

You waste all of this time trying to get to me

But you are out of my mind


[Verse 2]

Listen, I know

This one's a contradiction because of how happy it sounds

But the lyrics are so down

It's okay though

Because it represents, wait, better yet it is

Who I feel I am right now


[Hook]


[Chorus]

Heard you say, ""not today""

Tore the curtains down, windows open, now make a sound

Heard your voice, there's no choice

Tore the curtains down, windows open, now make a noise


[Bridge]

Don't you test me, no

Just because I play the piano

Doesn't mean I, I'm not willing to take you down


I, I'm out of my mind, oh

I'm not seeing things right, oh

I waste all this time trying to run from you

But I, I'm out of my mind


[Chorus]


[Hook]


[Chorus]


[Outro]

Buh buh bah, buh buh bah

Bah bah bah bah bah, bah bah bah bah bah

Buh buh bah, buh buh bah

Bah bah bah bah bah, bah bah bah bah bah

Buh buh bah, not today

Bah bah bah bah bah, bah bah bah bah bah

Buh buh bah, buh buh bah

Bah bah bah bah bah, bah bah bah bah bah


Ooh, ooh, ooh, ooh, ooh"

Rock,Twenty One Pilots,Blurryface ,Goner ,"[Verse 1] [x2]

I'm a goner

Somebody catch my breath

I'm a goner

Somebody catch my breath

I wanna be known by you

I wanna be known by you


[Hook]

Though I'm weak

And beaten down

I'll slip away into this sound

The ghost of you is close to me

I'm inside out

You're underneath


[Verse 2]

Iâ€™ve got two faces

Blurryâ€™s the one Iâ€™m not

Iâ€™ve got two faces

Blurryâ€™s the one Iâ€™m not

I need your help to take him out

I need your help to take him out


[Hook] [x2]



[Climax]

Donâ€™t let me be gone

Donâ€™t let me be gone

Donâ€™t let me be gone

Donâ€™t let me be gone

Don't let me be!

Don't let me be!

Oh, yeah!


[Hook]"

Rock,Panic! At the Disco,Death of a Bachelor ,Hallelujah ,"Ohh!
A moment you'll never remember
And a night you'll never forget!
Ohh!

All you sinners stand up, sing hallelujah (hallelujah!)
Show praise with your body
Stand up, sing hallelujah (hallelujah!)
And if you can't stop shaking, lean back
Let it move right through ya (hallelujah!)
Say your prayers
Say your prayers
Say your prayers
Hallelujah!

My life started the day I got caught
Under the covers
With secondhand lovers
Oh, tied up in pretty young things
In a state of emergency
Who was I trying to be

Then the time for being sad is over
And you miss them like you miss no other
And being blue is better than being over it
over it

All you sinners stand up, sing hallelujah (hallelujah!)
Show praise with your body
Stand up, sing hallelujah (hallelujah!)
And if you can't stop shaking, lean back
Let it move right through ya (hallelujah!)
Say your prayers
Say your prayers
Say your prayers
Hallelujah!

I was drunk and it didn't mean a thing
Stop thinking about
The bullets from my mouth
I love the things you hate about yourself
Just finished a daydream
Who were you trying to be

Then the time for being sad is over
And you miss them like you miss no other
And being blue is better than being over it
over it

No one wants you when you have no heart and
I'm sitting pretty in my brand new scars and
You'll never know if you don't ever try again
So let's try
Let's try
Let's try

All you sinners stand up, sing hallelujah (hallelujah!)
Show praise with your body
Stand up, sing hallelujah (hallelujah!)
And if you can't stop shaking, lean back
Let it move right through ya (hallelujah!)
Say your prayers
Say your prayers
Say your prayers
Hallelujah!

All you sinners stand up, sing hallelujah (hallelujah!)
Show praise with your body
Stand up, sing hallelujah (hallelujah!)
And if you can't stop shaking, lean back
Let it move right through ya (hallelujah!)
Say your prayers
Say your prayers
Say your prayers
Hallelujah!"

Rock,Panic! At the Disco,Death of a Bachelor ,Emperor's New Clothes ,"Finders keepers, losers weepers

Welcome to the end of eras
Ice has melted back to life
Done my time and served my sentence
Dress me up and watch me die
If it feels good, tastes good
It must be mine
Dynasty decapitated
You just might see a ghost tonight

And if you don't know now you know

I'm taking back the crown
I'm all dressed up and naked
I see what's mine and take it
(Finders keepers, losers weepers)
Oh yeah
The crown...
So close I can taste it
I see what's mine and take it
(Finders keepers, losers weepers)
Oh yeah

Sycophants on velvet sofas
Lavish mansions, vintage wine
I am so much more than Royal
Snatch your chain and mace your eyes
If it feels good, tastes good
It must be mine
Heroes always get remembered
But you know legends never die

And if you don't know now you know

I'm taking back the crown
I'm all dressed up and naked
I see what's mine and take it
(Finders keepers, losers weepers)
Oh yeah
The crown...
So close I can taste it
I see what's mine and take it
(Finders keepers, losers weepers)
Oh yeah

Mortal kings are ruling castles
Welcome to my world of fun
Liars settle into sockets
Flip the switch and watch them run

Oh yeah
(Finders keepers, losers weepers)
I'm taking back back, taking back back the crown
I'm all dressed up and naked
I see what's mine and take it
(Finders keepers, losers weepers)
